File............:   - MAR,07.2019

System..........:  
Control.........:  
Temperature.....:  -0.1+-0.4C
Time............:  MAR,07.2019
Comment.........:  09:56:26 - 10:01:28
                   
                   
                   
                   
Electr.area/sqcm:  
                    
polarization data

Lines:   301
Columns: 3

Number     Time/s     Potential/V    Current/A 
136          135.0    -1.4079e-01    0.0000e+00
137          136.0    -1.4111e-01    0.0000e+00
138          137.0    -1.4119e-01    0.0000e+00
139          138.0    -1.4133e-01    0.0000e+00
140          139.0    -1.4129e-01    0.0000e+00
141          140.0    -1.4146e-01    0.0000e+00
142          141.0    -1.4148e-01    0.0000e+00
143          142.0    -1.4182e-01    0.0000e+00
144          143.0    -1.4168e-01    0.0000e+00
145          144.0    -1.4212e-01    0.0000e+00
146          145.0    -1.4207e-01    0.0000e+00
147          146.0    -1.4228e-01    0.0000e+00
148          147.0    -1.4233e-01    0.0000e+00
149          148.0    -1.4226e-01    0.0000e+00
150          149.0    -1.4274e-01    0.0000e+00
151          150.0    -1.4256e-01    0.0000e+00
152          151.0    -1.4277e-01    0.0000e+00
153          152.0    -1.4278e-01    0.0000e+00
154          153.0    -1.4331e-01    0.0000e+00
155          154.0    -1.4314e-01    0.0000e+00
156          155.0    -1.4301e-01    0.0000e+00
157          156.0    -1.4323e-01    0.0000e+00
158          157.0    -1.4350e-01    0.0000e+00
159          158.0    -1.4327e-01    0.0000e+00
160          159.0    -1.4351e-01    0.0000e+00
161          160.0    -1.4387e-01    0.0000e+00
162          161.0    -1.4382e-01    0.0000e+00
163          162.0    -1.4420e-01    0.0000e+00
164          163.0    -1.4379e-01    0.0000e+00
165          164.0    -1.4403e-01    0.0000e+00
166          165.0    -1.4431e-01    0.0000e+00
167          166.0    -1.4430e-01    0.0000e+00
168          167.0    -1.4454e-01    0.0000e+00
169          168.0    -1.4447e-01    0.0000e+00
170          169.0    -1.4450e-01    0.0000e+00
171          170.0    -1.4489e-01    0.0000e+00
172          171.0    -1.4494e-01    0.0000e+00
173          172.0    -1.4503e-01    0.0000e+00
174          173.0    -1.4495e-01    0.0000e+00
175          174.0    -1.4522e-01    0.0000e+00
176          175.0    -1.4530e-01    0.0000e+00
177          176.0    -1.4521e-01    0.0000e+00
178          177.0    -1.4553e-01    0.0000e+00
179          178.0    -1.4456e-01    0.0000e+00
180          179.0    -1.4505e-01    0.0000e+00
181          180.0    -1.4523e-01    0.0000e+00
182          181.0    -1.4571e-01    0.0000e+00
183          182.0    -1.4562e-01    0.0000e+00
184          183.0    -1.4574e-01    0.0000e+00
185          184.0    -1.4575e-01    0.0000e+00
186          185.0    -1.4601e-01    0.0000e+00
187          186.0    -1.4576e-01    0.0000e+00
188          187.0    -1.4612e-01    0.0000e+00
189          188.0    -1.4639e-01    0.0000e+00
190          189.0    -1.4613e-01    0.0000e+00
191          190.0    -1.4661e-01    0.0000e+00
192          191.0    -1.4638e-01    0.0000e+00
193          192.0    -1.4659e-01    0.0000e+00
194          193.0    -1.4689e-01    0.0000e+00
195          194.0    -1.4679e-01    0.0000e+00
196          195.0    -1.4679e-01    0.0000e+00
197          196.0    -1.4711e-01    0.0000e+00
198          197.0    -1.4718e-01    0.0000e+00
199          198.0    -1.4705e-01    0.0000e+00
200          199.0    -1.4697e-01    0.0000e+00
201          200.0    -1.4718e-01    0.0000e+00
202          201.0     1.0375e-01    0.0000e+00
203          202.0     1.0810e-01    0.0000e+00
204          203.0     1.0829e-01    0.0000e+00
205          204.0     1.0830e-01    0.0000e+00
206          205.0     1.0792e-01    0.0000e+00
207          206.0     1.0756e-01    0.0000e+00
208          207.0     1.0747e-01    0.0000e+00
209          208.0     1.0691e-01    0.0000e+00
210          209.0     1.0701e-01    0.0000e+00
211          210.0     1.0692e-01    0.0000e+00
212          211.0     1.0663e-01    0.0000e+00
213          212.0     1.0656e-01    0.0000e+00
214          213.0     1.0618e-01    0.0000e+00
215          214.0     1.0585e-01    0.0000e+00
216          215.0     1.0583e-01    0.0000e+00
217          216.0     1.0597e-01    0.0000e+00
218          217.0     1.0586e-01    0.0000e+00
219          218.0     1.0534e-01    0.0000e+00
220          219.0     1.0534e-01    0.0000e+00
221          220.0     1.0370e-01    0.0000e+00
222          221.0     1.0336e-01    0.0000e+00
223          222.0     1.0365e-01    0.0000e+00
224          223.0     1.0323e-01    0.0000e+00
225          224.0     1.0254e-01    0.0000e+00
226          225.0     1.0258e-01    0.0000e+00
227          226.0     1.0221e-01    0.0000e+00
228          227.0     1.0245e-01    0.0000e+00
229          228.0     1.0242e-01    0.0000e+00
230          229.0     1.0415e-01    0.0000e+00
