File............:  ni3-xiegc - DEC,26.2017

System..........:  Ni-xiegc3
Temperature.....:  -1.3+-0.1C
Time............:  08:18:33-08:27:15
Slewrate........:  100mV/s
Comment.........:  0.6-1.9
                   
                   
                   
                   
Electr.area/sqcm:  
                   
Cyclic voltammogram

Lines:   4015
Columns: 3

Number    Time/s    Potential/V   Current/A 
988         128.2      -0.138     -1.060e-05
989         128.4      -0.151     -7.583e-06
990         128.5      -0.164     -5.232e-06
991         128.6      -0.177     -2.685e-06
992         128.8      -0.190     -9.062e-07
993         128.9      -0.203     -6.610e-07
994         129.0      -0.216     -1.960e-07
995         129.2      -0.229      7.459e-07
996         129.3      -0.242      2.060e-07
997         129.4      -0.255      5.554e-07
998         129.5      -0.268      8.059e-07
999         129.7      -0.281      1.460e-06
1000        129.8      -0.294      9.637e-07
1001        129.9      -0.307      1.729e-06
1002        130.1      -0.320      1.965e-06
1003        130.2      -0.333      1.750e-06
1004        130.3      -0.346      2.108e-06
1005        130.5      -0.359      1.718e-06
1006        130.6      -0.372      2.202e-06
1007        130.7      -0.385      2.325e-06
1008        130.8      -0.396      1.887e-06
1009        131.0      -0.390      2.740e-06
1010        131.1      -0.377      4.223e-06
1011        131.2      -0.364      4.252e-06
1012        131.4      -0.351      5.506e-06
1013        131.5      -0.338      5.454e-06
1014        131.6      -0.325      5.642e-06
1015        131.8      -0.312      6.042e-06
1016        131.9      -0.299      6.112e-06
1017        132.0      -0.286      5.558e-06
1018        132.1      -0.273      5.184e-06
1019        132.3      -0.260      5.714e-06
1020        132.4      -0.247      5.409e-06
1021        132.5      -0.234      6.020e-06
1022        132.7      -0.221      6.883e-06
1023        132.8      -0.208      6.842e-06
1024        132.9      -0.195      6.302e-06
1025        133.1      -0.182      6.357e-06
1026        133.2      -0.169      6.848e-06
1027        133.3      -0.156      7.011e-06
1028        133.4      -0.143      7.108e-06
1029        133.6      -0.130      6.924e-06
1030        133.7      -0.117      7.327e-06
1031        133.8      -0.104      8.217e-06
1032        134.0      -0.091      8.114e-06
1033        134.1      -0.078      8.240e-06
1034        134.2      -0.065      8.697e-06
1035        134.4      -0.052      9.244e-06
1036        134.5      -0.039      1.002e-05
1037        134.6      -0.026      1.106e-05
1038        134.7      -0.013      1.196e-05
1039        134.9       0.001      1.497e-05
1040        135.0       0.014      2.211e-05
1041        135.1       0.027      3.225e-05
1042        135.3       0.040      4.367e-05
1043        135.4       0.053      5.293e-05
1044        135.5       0.066      5.675e-05
1045        135.7       0.079      5.220e-05
1046        135.8       0.092      4.403e-05
1047        135.9       0.105      3.438e-05
1048        136.0       0.118      2.869e-05
1049        136.2       0.131      2.751e-05
1050        136.3       0.144      2.993e-05
1051        136.4       0.157      3.537e-05
1052        136.6       0.170      4.406e-05
1053        136.7       0.183      5.777e-05
1054        136.8       0.196      7.548e-05
1055        137.0       0.209      9.908e-05
1056        137.1       0.222      1.281e-04
1057        137.2       0.235      1.629e-04
1058        137.3       0.248      2.007e-04
1059        137.5       0.261      2.436e-04
1060        137.6       0.274      2.919e-04
1061        137.7       0.287      3.400e-04
1062        137.9       0.300      3.933e-04
1063        138.0       0.313      4.469e-04
1064        138.1       0.326      5.021e-04
1065        138.3       0.339      5.630e-04
1066        138.4       0.352      6.243e-04
1067        138.5       0.365      6.859e-04
1068        138.6       0.378      7.549e-04
1069        138.8       0.391      8.288e-04
1070        138.9       0.404      9.034e-04
1071        139.0       0.417      9.854e-04
1072        139.2       0.430      1.072e-03
1073        139.3       0.443      1.166e-03
1074        139.4       0.456      1.261e-03
1075        139.6       0.469      1.368e-03
1076        139.7       0.482      1.479e-03
1077        139.8       0.495      1.594e-03
1078        139.9       0.508      1.709e-03
1079        140.1       0.521      1.830e-03
1080        140.2       0.534      1.956e-03
1081        140.3       0.547      2.079e-03
1082        140.5       0.560      2.203e-03
1083        140.6       0.573      2.326e-03
1084        140.7       0.586      2.459e-03
1085        140.9       0.599      2.582e-03
1086        141.0       0.612      2.708e-03
1087        141.1       0.625      2.829e-03
1088        141.2       0.638      2.945e-03
1089        141.4       0.651      3.068e-03
1090        141.5       0.664      3.188e-03
1091        141.6       0.677      3.300e-03
1092        141.8       0.690      3.423e-03
1093        141.9       0.703      3.536e-03
1094        142.0       0.716      3.650e-03
1095        142.2       0.729      3.754e-03
1096        142.3       0.742      3.859e-03
1097        142.4       0.755      3.977e-03
1098        142.5       0.768      4.089e-03
1099        142.7       0.781      4.196e-03
1100        142.8       0.794      4.313e-03
1101        142.9       0.807      4.426e-03
1102        143.1       0.820      4.515e-03
1103        143.2       0.833      4.622e-03
1104        143.3       0.846      4.732e-03
1105        143.5       0.859      4.839e-03
1106        143.6       0.872      4.937e-03
1107        143.7       0.885      5.016e-03
1108        143.8       0.896      5.101e-03
1109        144.0       0.890      4.803e-03
1110        144.1       0.877      4.456e-03
1111        144.2       0.864      4.154e-03
1112        144.4       0.851      3.872e-03
1113        144.5       0.838      3.615e-03
1114        144.6       0.825      3.385e-03
1115        144.8       0.812      3.172e-03
1116        144.9       0.799      2.972e-03
1117        145.0       0.786      2.775e-03
1118        145.1       0.773      2.599e-03
1119        145.3       0.760      2.436e-03
1120        145.4       0.747      2.276e-03
1121        145.5       0.734      2.125e-03
1122        145.7       0.721      1.986e-03
1123        145.8       0.707      1.855e-03
1124        145.9       0.695      1.729e-03
1125        146.1       0.682      1.618e-03
1126        146.2       0.668      1.509e-03
1127        146.3       0.656      1.404e-03
1128        146.4       0.643      1.308e-03
1129        146.6       0.629      1.221e-03
1130        146.7       0.617      1.132e-03
1131        146.8       0.604      1.054e-03
1132        147.0       0.590      9.807e-04
1133        147.1       0.578      9.090e-04
1134        147.2       0.565      8.370e-04
1135        147.4       0.551      7.744e-04
1136        147.5       0.538      7.165e-04
1137        147.6       0.526      6.589e-04
1138        147.7       0.512      6.038e-04
1139        147.9       0.499      5.544e-04
1140        148.0       0.487      5.061e-04
1141        148.1       0.473      4.599e-04
1142        148.3       0.460      4.195e-04
1143        148.4       0.447      3.785e-04
1144        148.5       0.434      3.429e-04
1145        148.7       0.421      3.117e-04
1146        148.8       0.408      2.802e-04
1147        148.9       0.395      2.515e-04
1148        149.0       0.382      2.262e-04
1149        149.2       0.369      2.008e-04
1150        149.3       0.356      1.781e-04
1151        149.4       0.343      1.567e-04
1152        149.6       0.330      1.375e-04
1153        149.7       0.317      1.163e-04
1154        149.8       0.304      9.826e-05
1155        150.0       0.291      8.234e-05
1156        150.1       0.278      6.562e-05
1157        150.2       0.265      5.110e-05
1158        150.3       0.252      3.970e-05
1159        150.5       0.239      2.946e-05
1160        150.6       0.226      2.214e-05
1161        150.7       0.213      1.743e-05
1162        150.9       0.200      1.252e-05
1163        151.0       0.187      9.682e-06
1164        151.1       0.174      7.310e-06
1165        151.3       0.161      6.466e-06
1166        151.4       0.148      4.667e-06
1167        151.5       0.135      3.887e-06
1168        151.6       0.122      2.745e-06
1169        151.8       0.109      2.148e-06
1170        151.9       0.096      1.549e-06
1171        152.0       0.083      6.641e-07
1172        152.2       0.070      8.540e-07
1173        152.3       0.057      1.067e-07
1174        152.4       0.044     -1.342e-06
1175        152.6       0.031     -2.233e-06
1176        152.7       0.018     -3.373e-06
1177        152.8       0.005     -3.826e-06
1178        152.9      -0.008     -4.923e-06
1179        153.1      -0.021     -7.096e-06
1180        153.2      -0.034     -8.719e-06
1181        153.3      -0.047     -9.673e-06
1182        153.5      -0.060     -1.062e-05
1183        153.6      -0.073     -1.161e-05
1184        153.7      -0.086     -1.152e-05
1185        153.9      -0.099     -1.250e-05
1186        154.0      -0.112     -1.196e-05
1187        154.1      -0.125     -1.186e-05
1188        154.2      -0.138     -1.081e-05
1189        154.4      -0.151     -1.084e-05
1190        154.5      -0.164     -9.849e-06
1191        154.6      -0.177     -9.812e-06
1192        154.8      -0.190     -9.566e-06
1193        154.9      -0.203     -7.886e-06
1194        155.0      -0.216     -6.935e-06
1195        155.2      -0.229     -5.355e-06
1196        155.3      -0.242     -3.576e-06
1197        155.4      -0.255     -1.918e-06
1198        155.5      -0.268     -3.588e-07
1199        155.7      -0.281     -2.485e-07
1200        155.8      -0.294     -2.053e-07
1201        155.9      -0.307      7.828e-07
1202        156.1      -0.320      8.587e-07
1203        156.2      -0.333      1.870e-06
1204        156.3      -0.346      1.817e-06
1205        156.5      -0.359      1.113e-06
1206        156.6      -0.372      1.354e-06
1207        156.7      -0.385      1.253e-06
1208        156.8      -0.396      1.862e-06
1209        157.0      -0.390      2.871e-06
1210        157.1      -0.377      3.968e-06
1211        157.2      -0.364      3.537e-06
1212        157.4      -0.351      4.424e-06
1213        157.5      -0.338      5.563e-06
1214        157.6      -0.325      5.740e-06
1215        157.8      -0.312      5.435e-06
1216        157.9      -0.299      5.730e-06
1217        158.0      -0.286      5.279e-06
1218        158.1      -0.273      6.539e-06
1219        158.3      -0.260      5.884e-06
1220        158.4      -0.247      5.988e-06
1221        158.5      -0.234      6.569e-06
1222        158.7      -0.221      6.032e-06
1223        158.8      -0.208      6.673e-06
1224        158.9      -0.195      7.195e-06
1225        159.1      -0.182      6.816e-06
1226        159.2      -0.169      6.575e-06
1227        159.3      -0.156      7.667e-06
1228        159.4      -0.143      6.452e-06
1229        159.6      -0.130      7.102e-06
1230        159.7      -0.117      7.688e-06
1231        159.8      -0.104      6.855e-06
1232        160.0      -0.091      7.486e-06
1233        160.1      -0.078      8.306e-06
1234        160.2      -0.065      8.760e-06
1235        160.4      -0.052      9.122e-06
1236        160.5      -0.039      9.851e-06
1237        160.6      -0.026      1.045e-05
1238        160.7      -0.013      1.128e-05
1239        160.9       0.001      1.321e-05
1240        161.0       0.014      1.498e-05
1241        161.1       0.027      1.951e-05
1242        161.3       0.040      2.637e-05
1243        161.4       0.053      3.377e-05
1244        161.5       0.066      3.967e-05
1245        161.7       0.079      4.507e-05
1246        161.8       0.092      4.837e-05
1247        161.9       0.105      4.968e-05
1248        162.0       0.118      4.748e-05
1249        162.2       0.131      4.516e-05
1250        162.3       0.144      3.999e-05
1251        162.4       0.157      3.581e-05
1252        162.6       0.170      3.805e-05
1253        162.7       0.183      4.511e-05
1254        162.8       0.196      5.728e-05
1255        163.0       0.209      7.470e-05
1256        163.1       0.222      9.650e-05
1257        163.2       0.235      1.218e-04
1258        163.3       0.248      1.541e-04
1259        163.5       0.261      1.892e-04
1260        163.6       0.274      2.293e-04
1261        163.7       0.287      2.728e-04
1262        163.9       0.300      3.201e-04
1263        164.0       0.313      3.702e-04
1264        164.1       0.326      4.250e-04
1265        164.3       0.339      4.822e-04
1266        164.4       0.352      5.424e-04
1267        164.5       0.365      6.054e-04
1268        164.6       0.378      6.705e-04
1269        164.8       0.391      7.436e-04
1270        164.9       0.404      8.180e-04
1271        165.0       0.417      8.997e-04
1272        165.2       0.430      9.835e-04
1273        165.3       0.443      1.077e-03
1274        165.4       0.456      1.171e-03
1275        165.6       0.469      1.271e-03
1276        165.7       0.482      1.377e-03
1277        165.8       0.495      1.486e-03
1278        165.9       0.508      1.600e-03
1279        166.1       0.521      1.718e-03
1280        166.2       0.534      1.835e-03
1281        166.3       0.547      1.956e-03
1282        166.5       0.560      2.076e-03
1283        166.6       0.573      2.207e-03
1284        166.7       0.586      2.334e-03
1285        166.9       0.599      2.457e-03
1286        167.0       0.612      2.579e-03
1287        167.1       0.625      2.699e-03
1288        167.2       0.638      2.830e-03
1289        167.4       0.651      2.954e-03
1290        167.5       0.664      3.072e-03
1291        167.6       0.677      3.189e-03
1292        167.8       0.690      3.293e-03
1293        167.9       0.703      3.413e-03
1294        168.0       0.716      3.524e-03
1295        168.2       0.729      3.633e-03
1296        168.3       0.742      3.746e-03
1297        168.4       0.755      3.858e-03
1298        168.5       0.768      3.957e-03
1299        168.7       0.781      4.062e-03
1300        168.8       0.794      4.166e-03
1301        168.9       0.807      4.265e-03
1302        169.1       0.820      4.361e-03
1303        169.2       0.833      4.482e-03
1304        169.3       0.846      4.589e-03
1305        169.5       0.859      4.695e-03
1306        169.6       0.872      4.793e-03
1307        169.7       0.885      4.882e-03
1308        169.8       0.896      4.950e-03
1309        170.0       0.890      4.659e-03
1310        170.1       0.877      4.318e-03
1311        170.2       0.864      4.012e-03
1312        170.4       0.851      3.740e-03
1313        170.5       0.838      3.489e-03
1314        170.6       0.825      3.255e-03
1315        170.8       0.812      3.044e-03
1316        170.9       0.799      2.848e-03
1317        171.0       0.786      2.658e-03
1318        171.1       0.773      2.476e-03
1319        171.3       0.760      2.313e-03
1320        171.4       0.747      2.172e-03
1321        171.5       0.734      2.022e-03
1322        171.7       0.721      1.880e-03
1323        171.8       0.708      1.751e-03
1324        171.9       0.694      1.624e-03
1325        172.1       0.682      1.510e-03
1326        172.2       0.669      1.402e-03
1327        172.3       0.655      1.299e-03
1328        172.4       0.643      1.204e-03
1329        172.6       0.630      1.114e-03
1330        172.7       0.616      1.026e-03
1331        172.8       0.603      9.478e-04
1332        173.0       0.591      8.725e-04
1333        173.1       0.577      8.010e-04
1334        173.2       0.564      7.339e-04
1335        173.4       0.552      6.738e-04
1336        173.5       0.538      6.175e-04
1337        173.6       0.525      5.651e-04
1338        173.7       0.513      5.168e-04
1339        173.9       0.499      4.718e-04
1340        174.0       0.486      4.300e-04
1341        174.1       0.473      3.917e-04
1342        174.3       0.460      3.559e-04
1343        174.4       0.447      3.233e-04
1344        174.5       0.434      2.939e-04
1345        174.7       0.421      2.662e-04
1346        174.8       0.408      2.397e-04
1347        174.9       0.395      2.141e-04
1348        175.0       0.382      1.911e-04
1349        175.2       0.369      1.702e-04
1350        175.3       0.356      1.497e-04
1351        175.4       0.343      1.305e-04
1352        175.6       0.330      1.114e-04
1353        175.7       0.317      9.551e-05
1354        175.8       0.304      7.911e-05
1355        176.0       0.291      6.610e-05
1356        176.1       0.278      5.366e-05
1357        176.2       0.265      4.308e-05
1358        176.3       0.252      3.313e-05
1359        176.5       0.239      2.649e-05
1360        176.6       0.226      1.995e-05
1361        176.7       0.213      1.588e-05
1362        176.9       0.200      1.234e-05
1363        177.0       0.187      9.451e-06
1364        177.1       0.174      7.508e-06
1365        177.3       0.161      6.057e-06
1366        177.4       0.148      4.676e-06
1367        177.5       0.135      4.375e-06
1368        177.6       0.122      4.033e-06
1369        177.8       0.109      2.100e-06
1370        177.9       0.096      2.231e-06
1371        178.0       0.083      1.444e-06
1372        178.2       0.070      9.430e-07
1373        178.3       0.057      9.457e-07
1374        178.4       0.044      1.066e-07
1375        178.6       0.031     -1.205e-06
1376        178.7       0.018     -9.905e-07
1377        178.8       0.005     -2.494e-06
1378        178.9      -0.008     -3.629e-06
1379        179.1      -0.021     -3.765e-06
1380        179.2      -0.034     -4.983e-06
1381        179.3      -0.047     -5.601e-06
1382        179.5      -0.060     -5.873e-06
1383        179.6      -0.073     -6.846e-06
1384        179.7      -0.086     -6.441e-06
1385        179.9      -0.099     -7.440e-06
1386        180.0      -0.112     -7.895e-06
1387        180.1      -0.125     -7.966e-06
1388        180.2      -0.138     -7.765e-06
1389        180.4      -0.151     -8.553e-06
1390        180.5      -0.164     -7.711e-06
1391        180.6      -0.177     -8.688e-06
1392        180.8      -0.190     -8.072e-06
1393        180.9      -0.203     -7.997e-06
1394        181.0      -0.216     -7.702e-06
1395        181.2      -0.229     -8.592e-06
1396        181.3      -0.242     -7.978e-06
1397        181.4      -0.255     -7.854e-06
1398        181.5      -0.268     -8.618e-06
1399        181.7      -0.281     -6.991e-06
1400        181.8      -0.294     -6.437e-06
1401        181.9      -0.307     -5.751e-06
1402        182.1      -0.320     -4.366e-06
1403        182.2      -0.333     -2.828e-06
1404        182.3      -0.346     -2.046e-06
1405        182.5      -0.359     -1.238e-06
1406        182.6      -0.372     -4.884e-08
1407        182.7      -0.385      3.219e-07
1408        182.8      -0.396      8.471e-07
1409        183.0      -0.390      2.023e-06
1410        183.1      -0.377      3.185e-06
1411        183.2      -0.364      3.116e-06
1412        183.4      -0.351      4.197e-06
1413        183.5      -0.338      4.694e-06
1414        183.6      -0.325      4.538e-06
1415        183.8      -0.312      5.078e-06
1416        183.9      -0.299      5.901e-06
1417        184.0      -0.286      5.774e-06
1418        184.1      -0.273      5.723e-06
1419        184.3      -0.260      5.919e-06
1420        184.4      -0.247      5.848e-06
1421        184.5      -0.234      5.464e-06
1422        184.7      -0.221      5.812e-06
1423        184.8      -0.208      6.452e-06
1424        184.9      -0.195      6.530e-06
1425        185.1      -0.182      6.843e-06
1426        185.2      -0.169      6.916e-06
1427        185.3      -0.156      7.200e-06
1428        185.4      -0.143      7.112e-06
1429        185.6      -0.130      7.140e-06
1430        185.7      -0.117      7.832e-06
1431        185.8      -0.104      7.403e-06
1432        186.0      -0.091      7.315e-06
1433        186.1      -0.078      7.690e-06
1434        186.2      -0.065      8.433e-06
1435        186.4      -0.052      8.664e-06
1436        186.5      -0.039      9.485e-06
1437        186.6      -0.026      1.002e-05
1438        186.7      -0.013      1.098e-05
1439        186.9       0.001      1.155e-05
1440        187.0       0.014      1.274e-05
1441        187.1       0.027      1.464e-05
1442        187.3       0.040      1.798e-05
1443        187.4       0.053      2.212e-05
1444        187.5       0.066      2.653e-05
1445        187.7       0.079      3.233e-05
1446        187.8       0.092      3.560e-05
1447        187.9       0.105      3.903e-05
1448        188.0       0.118      4.310e-05
1449        188.2       0.131      4.595e-05
1450        188.3       0.144      4.956e-05
1451        188.4       0.157      5.203e-05
1452        188.6       0.170      5.377e-05
1453        188.7       0.183      5.503e-05
1454        188.8       0.196      5.688e-05
1455        189.0       0.209      6.436e-05
1456        189.1       0.222      7.791e-05
1457        189.2       0.235      9.829e-05
1458        189.3       0.248      1.223e-04
1459        189.5       0.261      1.508e-04
1460        189.6       0.274      1.831e-04
1461        189.7       0.287      2.190e-04
1462        189.9       0.300      2.610e-04
1463        190.0       0.313      3.050e-04
1464        190.1       0.326      3.511e-04
1465        190.3       0.339      4.027e-04
1466        190.4       0.352      4.571e-04
1467        190.5       0.365      5.165e-04
1468        190.6       0.378      5.791e-04
1469        190.8       0.391      6.478e-04
1470        190.9       0.404      7.228e-04
1471        191.0       0.417      8.010e-04
1472        191.2       0.430      8.821e-04
1473        191.3       0.443      9.715e-04
1474        191.4       0.456      1.065e-03
1475        191.6       0.469      1.165e-03
1476        191.7       0.482      1.266e-03
1477        191.8       0.495      1.373e-03
1478        191.9       0.508      1.484e-03
1479        192.1       0.521      1.595e-03
1480        192.2       0.534      1.715e-03
1481        192.3       0.547      1.836e-03
1482        192.5       0.560      1.953e-03
1483        192.6       0.573      2.077e-03
1484        192.7       0.586      2.202e-03
1485        192.9       0.599      2.324e-03
1486        193.0       0.612      2.445e-03
1487        193.1       0.625      2.566e-03
1488        193.2       0.638      2.691e-03
1489        193.4       0.651      2.807e-03
1490        193.5       0.664      2.920e-03
1491        193.6       0.677      3.049e-03
1492        193.8       0.690      3.161e-03
1493        193.9       0.703      3.269e-03
1494        194.0       0.716      3.384e-03
1495        194.2       0.729      3.494e-03
1496        194.3       0.742      3.592e-03
1497        194.4       0.755      3.707e-03
1498        194.5       0.768      3.824e-03
1499        194.7       0.781      3.921e-03
1500        194.8       0.794      4.027e-03
1501        194.9       0.807      4.125e-03
1502        195.1       0.820      4.228e-03
1503        195.2       0.833      4.326e-03
1504        195.3       0.846      4.430e-03
1505        195.5       0.859      4.525e-03
1506        195.6       0.872      4.627e-03
1507        195.7       0.885      4.726e-03
1508        195.8       0.896      4.778e-03
1509        196.0       0.890      4.474e-03
1510        196.1       0.877      4.134e-03
1511        196.2       0.864      3.848e-03
1512        196.4       0.851      3.583e-03
1513        196.5       0.838      3.328e-03
1514        196.6       0.825      3.110e-03
1515        196.8       0.812      2.904e-03
1516        196.9       0.799      2.708e-03
1517        197.0       0.786      2.519e-03
1518        197.1       0.773      2.346e-03
1519        197.3       0.760      2.185e-03
1520        197.4       0.747      2.025e-03
1521        197.5       0.734      1.884e-03
1522        197.7       0.720      1.753e-03
1523        197.8       0.708      1.623e-03
1524        197.9       0.695      1.504e-03
1525        198.1       0.681      1.389e-03
1526        198.2       0.669      1.279e-03
1527        198.3       0.656      1.179e-03
1528        198.4       0.642      1.087e-03
1529        198.6       0.629      1.003e-03
1530        198.7       0.617      9.206e-04
1531        198.8       0.603      8.436e-04
1532        199.0       0.590      7.744e-04
1533        199.1       0.578      7.104e-04
1534        199.2       0.564      6.472e-04
1535        199.4       0.551      5.937e-04
1536        199.5       0.539      5.422e-04
1537        199.6       0.525      4.954e-04
1538        199.7       0.512      4.532e-04
1539        199.9       0.500      4.127e-04
1540        200.0       0.486      3.769e-04
1541        200.1       0.473      3.421e-04
1542        200.3       0.460      3.112e-04
1543        200.4       0.447      2.831e-04
1544        200.5       0.434      2.558e-04
1545        200.7       0.422      2.307e-04
1546        200.8       0.408      2.070e-04
1547        200.9       0.395      1.860e-04
1548        201.0       0.382      1.652e-04
1549        201.2       0.369      1.457e-04
1550        201.3       0.356      1.283e-04
1551        201.4       0.343      1.114e-04
1552        201.6       0.330      9.509e-05
1553        201.7       0.317      8.126e-05
1554        201.8       0.304      6.767e-05
1555        202.0       0.291      5.735e-05
1556        202.1       0.278      4.592e-05
1557        202.2       0.265      3.756e-05
1558        202.3       0.252      2.993e-05
1559        202.5       0.239      2.362e-05
1560        202.6       0.226      1.852e-05
1561        202.7       0.213      1.473e-05
1562        202.9       0.200      1.095e-05
1563        203.0       0.187      8.514e-06
1564        203.1       0.174      7.090e-06
1565        203.3       0.161      5.999e-06
1566        203.4       0.148      4.330e-06
1567        203.5       0.135      4.002e-06
1568        203.6       0.122      4.154e-06
1569        203.8       0.109      3.612e-06
1570        203.9       0.096      2.503e-06
1571        204.0       0.083      2.729e-06
1572        204.2       0.070      1.656e-06
1573        204.3       0.057      1.174e-06
1574        204.4       0.044      5.780e-07
1575        204.6       0.031     -3.251e-07
1576        204.7       0.018      2.154e-07
1577        204.8       0.005     -8.684e-07
1578        204.9      -0.008     -1.364e-06
1579        205.1      -0.021     -1.735e-06
1580        205.2      -0.034     -2.926e-06
1581        205.3      -0.047     -2.930e-06
1582        205.5      -0.060     -2.781e-06
1583        205.6      -0.073     -3.548e-06
1584        205.7      -0.086     -3.919e-06
1585        205.9      -0.099     -4.538e-06
1586        206.0      -0.112     -4.215e-06
1587        206.1      -0.125     -5.150e-06
1588        206.2      -0.138     -4.816e-06
1589        206.4      -0.151     -5.186e-06
1590        206.5      -0.164     -4.949e-06
1591        206.6      -0.177     -5.102e-06
1592        206.8      -0.190     -5.060e-06
1593        206.9      -0.203     -5.230e-06
1594        207.0      -0.216     -5.511e-06
1595        207.2      -0.229     -5.114e-06
1596        207.3      -0.242     -6.237e-06
1597        207.4      -0.255     -5.762e-06
1598        207.5      -0.268     -5.914e-06
1599        207.7      -0.281     -6.952e-06
1600        207.8      -0.294     -6.744e-06
1601        207.9      -0.307     -7.287e-06
1602        208.1      -0.320     -5.266e-06
1603        208.2      -0.333     -6.276e-06
1604        208.3      -0.346     -5.631e-06
1605        208.5      -0.359     -6.419e-06
1606        208.6      -0.372     -6.379e-06
1607        208.7      -0.385     -5.733e-06
1608        208.8      -0.396     -4.740e-06
1609        209.0      -0.390     -1.854e-06
1610        209.1      -0.377      4.602e-07
1611        209.2      -0.364      1.057e-06
1612        209.4      -0.351      2.761e-06
1613        209.5      -0.338      2.738e-06
1614        209.6      -0.325      3.535e-06
1615        209.8      -0.312      4.024e-06
1616        209.9      -0.299      4.218e-06
1617        210.0      -0.286      4.864e-06
1618        210.1      -0.273      4.324e-06
1619        210.3      -0.260      5.318e-06
1620        210.4      -0.247      5.133e-06
1621        210.5      -0.234      5.719e-06
1622        210.7      -0.221      6.818e-06
1623        210.8      -0.208      5.946e-06
1624        210.9      -0.195      6.394e-06
1625        211.1      -0.182      7.230e-06
1626        211.2      -0.169      7.345e-06
1627        211.3      -0.156      6.284e-06
1628        211.4      -0.143      7.075e-06
1629        211.6      -0.130      7.685e-06
1630        211.7      -0.117      7.175e-06
1631        211.8      -0.104      7.587e-06
1632        212.0      -0.091      7.476e-06
1633        212.1      -0.078      7.581e-06
1634        212.2      -0.065      8.178e-06
1635        212.4      -0.052      8.065e-06
1636        212.5      -0.039      9.247e-06
1637        212.6      -0.026      9.537e-06
1638        212.7      -0.013      1.054e-05
1639        212.9       0.001      9.918e-06
1640        213.0       0.014      1.211e-05
1641        213.1       0.027      1.414e-05
1642        213.3       0.040      1.576e-05
1643        213.4       0.053      1.887e-05
1644        213.5       0.066      2.081e-05
1645        213.7       0.079      2.427e-05
1646        213.8       0.092      2.651e-05
1647        213.9       0.105      3.059e-05
1648        214.0       0.118      3.404e-05
1649        214.2       0.131      3.931e-05
1650        214.3       0.144      4.243e-05
1651        214.4       0.157      4.712e-05
1652        214.6       0.170      5.294e-05
1653        214.7       0.183      5.783e-05
1654        214.8       0.196      6.395e-05
1655        215.0       0.209      7.123e-05
1656        215.1       0.222      8.040e-05
1657        215.2       0.235      9.078e-05
1658        215.3       0.248      1.084e-04
1659        215.5       0.261      1.295e-04
1660        215.6       0.274      1.584e-04
1661        215.7       0.287      1.906e-04
1662        215.9       0.300      2.265e-04
1663        216.0       0.313      2.665e-04
1664        216.1       0.326      3.094e-04
1665        216.3       0.339      3.537e-04
1666        216.4       0.352      4.035e-04
1667        216.5       0.365      4.575e-04
1668        216.6       0.378      5.177e-04
1669        216.8       0.391      5.803e-04
1670        216.9       0.404      6.481e-04
1671        217.0       0.417      7.222e-04
1672        217.2       0.430      7.999e-04
1673        217.3       0.443      8.844e-04
1674        217.4       0.456      9.742e-04
1675        217.6       0.469      1.069e-03
1676        217.7       0.482      1.171e-03
1677        217.8       0.495      1.277e-03
1678        217.9       0.508      1.386e-03
1679        218.1       0.521      1.497e-03
1680        218.2       0.534      1.613e-03
1681        218.3       0.547      1.730e-03
1682        218.5       0.560      1.853e-03
1683        218.6       0.573      1.967e-03
1684        218.7       0.586      2.093e-03
1685        218.9       0.599      2.212e-03
1686        219.0       0.612      2.334e-03
1687        219.1       0.625      2.454e-03
1688        219.2       0.638      2.577e-03
1689        219.4       0.651      2.696e-03
1690        219.5       0.664      2.813e-03
1691        219.6       0.677      2.926e-03
1692        219.8       0.690      3.040e-03
1693        219.9       0.703      3.152e-03
1694        220.0       0.716      3.263e-03
1695        220.2       0.729      3.368e-03
1696        220.3       0.742      3.471e-03
1697        220.4       0.755      3.588e-03
1698        220.5       0.768      3.694e-03
1699        220.7       0.781      3.783e-03
1700        220.8       0.794      3.894e-03
1701        220.9       0.807      3.999e-03
1702        221.1       0.820      4.093e-03
1703        221.2       0.833      4.186e-03
1704        221.3       0.846      4.284e-03
1705        221.5       0.859      4.373e-03
1706        221.6       0.872      4.464e-03
1707        221.7       0.885      4.546e-03
1708        221.8       0.896      4.613e-03
1709        222.0       0.890      4.313e-03
1710        222.1       0.877      3.983e-03
1711        222.2       0.864      3.697e-03
1712        222.4       0.851      3.433e-03
1713        222.5       0.838      3.186e-03
1714        222.6       0.825      2.968e-03
1715        222.8       0.812      2.765e-03
1716        222.9       0.799      2.579e-03
1717        223.0       0.786      2.389e-03
1718        223.1       0.773      2.220e-03
1719        223.3       0.760      2.064e-03
1720        223.4       0.747      1.915e-03
1721        223.5       0.734      1.780e-03
1722        223.7       0.721      1.642e-03
1723        223.8       0.707      1.522e-03
1724        223.9       0.695      1.407e-03
1725        224.1       0.682      1.298e-03
1726        224.2       0.668      1.191e-03
1727        224.3       0.656      1.100e-03
1728        224.4       0.643      1.012e-03
1729        224.6       0.629      9.287e-04
1730        224.7       0.617      8.525e-04
1731        224.8       0.604      7.827e-04
1732        225.0       0.590      7.149e-04
1733        225.1       0.577      6.551e-04
1734        225.2       0.565      6.050e-04
1735        225.4       0.551      5.526e-04
1736        225.5       0.538      5.033e-04
1737        225.6       0.526      4.597e-04
